Part/Designator,Manufacture Part Number/Seeed SKU,Quantity
C1,302010037,1
C4,302010053,1
C5,302010019,1
C6,302010019,1
D2,304010007,1
D3,304090042,1
Q1,305010013,1
R9,301010300,1
R8,301010299,1
R11,301010299,1
R12,301010299,1
R10,301010113,1
SW2,311030004,1
U1,314080008,1
USB1,320010003,1

NOT ASSEMBLIED
R1,301010418,1	MOUSER	
R2,301010418,1	MOUSER
R3,301010418,1	MOUSER
U3,310030238,1  MOUSER
J1,963104-2000-AR-PR, MOUSER
D1,CLP6C-FKB-CM1Q1H1BB7R3R3 MOUSER
JP1, 920-0085-01, MOUSER
JP2, 920-0085-01, MOUSER
MOTOR, 485-1201, MOUSER
RFDUINO, RFD22301, MOUSER
 
FOR MATRIX
4X LED MATRIX, 485-1632, MOUSER 94nok
2X HEADER

FOR COLOR S
4X COLOR SENSOR, 485-1334, MOUSER
2X HEADER
