Parts;Qty;Value;MPN;HOUSEPART;Device;Package;Parts;Description;DIELECTRIC;HOUSEPART;MPN;POPULATE;PROD_ID;TOLERANCE;URL;VALUE;VOLTAGE;WATTAGE
C2, C11;2;0.1uF;MF-CAP-0603-0.1uF;yes;CAPACITOR_NP_0603;C0603;C2, C11;Library:  MF_Passives;;;;1;;;;;;
R5, R9, R10;3;100K;MF-RES-0603-100K;yes;RESISTOR_0603;R0603;R5, R9, R10;Library:  MF_Passives;;;;1;;;;;;
R1, R2, R3, R4, R7, R11;6;10K;MF-RES-0603-10K;yes;RESISTOR_0603;R0603;R1, R2, R3, R4, R7, R11;Library:  MF_Passives;;;;1;;;;;;
C3, C5, C9, C10;4;10uF;MF-CAP-1206-10uF;yes;CAPACITOR_NP_1206;C1206;C3, C5, C9, C10;Library:  MF_Passives;;;;1;;;;;;
L1;1;10uH;MF-IND-1210-10uH;yes;INDUCTOR_1210;L1210;L1;Library:  MF_Passives;;;;;;;;;;
R8;1;1K;MF-RES-0603-1K;yes;RESISTOR_0603;R0603;R8;Library:  MF_Passives;;;;1;;;;;;
C1, C6, C7;3;1uF;MF-CAP-0603-1uF;yes;CAPACITOR_NP_0603;C0603;C1, C6, C7;Library:  MF_Passives;;;;1;;;;;;
R13, R14;2;22;MF-RES-0603-22;yes;RESISTOR_0603;R0603;R13, R14;Library:  MF_Passives;;;;1;;;;;;
C4, C8;2;22pF;MF-CAP-0603-22pF;yes;CAPACITOR_NP_0603;C0603;C4, C8;Library:  MF_Passives;;;;1;;;;;;
R12;1;27;MF-RES-0603-27;yes;RESISTOR_0603;R0603;R12;Library:  MF_Passives;;;;1;;;;;;
X1;1;32.768;ABS07-120-32.768KHZ-T;;XTAL-3.2X1.5;XTAL3215;X1;Low cost SMT crystals, no capacitors included;;;;;;;;;;
R6, R15;2;330;MF-RES-0603-330;yes;RESISTOR_0603;R0603;R6, R15;Library:  MF_Passives;;;;1;;;;;;
BUZZER;1;4MBUZ;490-CMT-4023S-SMT-TR;;4MBUZ;BUZPKG;BUZZER;;;;;;;;;;;
U3;1;ADXL345;ADXL345BCCZ-RL;;MOTION/POSITION-ADXL345BCCZ-RL(14P-5.0X3.0MM);LGA14-0.8-5.0X3.0MM;U3;314080008;;;ADXL345BCCZ-RL;;;;;ADXL345BCCZ-RL;;
U2;1;AP2112;AP2112K-3.3TRG1;;VREG_SOT23-5;SOT23-5;U2;SOT23-5 Fixed Voltage Regulators;;;;;;;;;;
U4;1;CAP1188;CAP1188-1-CP-TR;;CAP1188;QFN24_4MM_SMSC;U4;CAP1188 - Eight Channel Cap Touch Controller;;;;;;;;;;
Q1;1;DMG3415U-7;MF-DSC-SOT233-BSS84;yes;MOSFET-P;SOT23-R;Q1;P-Channel Mosfet;;;;;;;;;;
U5;1;DRV2605L;DRV2605LDGST;;DRV2605L;VSSOP-10;U5;;;;;;IC-13504;;;;;
D1;1;MBR120;MBR120LSFT1G;;DIODE-SCHOTTKYSOD-123;SOD-123;D1;;;;;;;;;;;
U1;1;MDBT42Q;317030213;;NRF52832_MODULE_MDBT42;BLE_MODULE_RAYTAC_MDBT42;U1;MDBT42 - BLE Module (nRF52832 QFN);;;;;;;;;;
D2;1;MF-DIO-SOD123-1N4148;MF-DIO-SOD123-1N4148;yes;DIODES_1N4148_SOD-123;SOD-123;D2;Library:  MF_Discrete_Semiconductor;;YES;MF-DIO-SOD123-1N4148;1;;;https://factory.macrofab.com/part/MF-DIO-SOD123-1N4148;MF-DIO-SOD123-1N4148;;
T2;1;MF-DSC-SOT233-MMBT3904;MF-DSC-SOT233-MMBT3904;yes;NPN_BJTMMBT3904_SOT-23-3;SOT-23-3;T2;Library:  MF_Discrete_Semiconductor;;YES;MF-DSC-SOT233-MMBT3904;1;;;https://factory.macrofab.com/part/MF-DSC-SOT233-MMBT3904;MF-DSC-SOT233-MMBT3904;;
BTL;2;MF-LED-0603-RED;MF-LED-0603-RED;yes;LED_SINGLE-0603-RED;LED0603;BTL;Library:  MF_LEDs;;YES;MF-LED-0603-RED;1;;;https://factory.macrofab.com/part/MF-LED-0603-RED;MF-LED-0603-RED;;
STAT;;;LNJ037X8ARA;;;;STAT;;;;;;;;;;;
D3;1;MF-LED-3228-RGB;MF-LED-3228-RGB;yes;LED_RGB_CA_PLCC4;PLCC4;D3;Library:  MF_LEDs;;YES;MF-LED-3228-RGB;1;;;https://factory.macrofab.com/part/MF-LED-3228-RGB;MF-LED-3228-RGB;;
SW;1;MF-SW-TACT-4.2MM;MF-SW-TACT-4.2MM;yes;TACT_4.2MM;TACT4.2MM;SW;Library:  MF_Switches;;YES;MF-SW-TACT-4.2MM;1;;;https://factory.macrofab.com/part/MF-SW-TACT-4.2MM;MF-SW-TACT-4.2MM;;
;;;;;;;;;;;;;;;;;;
Vibration motor;;;;;;;;;;;;;;;;;;
Battery;;;;;;;;;;;;;;;;;;
Header;;;;;;;;;;;;;;;;;;
magnets;;;;;;;;;;;;;;;;;;
